region,burnup,boron,group,absorption,capture,fission,nu_fission,transport,out_scatter,diffusion
RF1,0.0,0.0,1,0.00491777,0.00491777,0.0,0.0,0.344529,0.00126305,0.967504
RF1,0.0,0.0,2,0.144422,0.144422,0.0,0.0,1.01126,0.0018185,0.329621
RF1,0.0,51.0,1,0.00491772,0.00491772,0.0,0.0,0.344564,0.00126222,0.967407
RF1,0.0,51.0,2,0.144005,0.144005,0.0,0.0,1.01083,0.00185892,0.329762
RF1,0.0,102.0,1,0.00491761,0.00491761,0.0,0.0,0.344594,0.00126142,0.967321
RF1,0.0,102.0,2,0.143603,0.143603,0.0,0.0,1.01041,0.00189789,0.329899
RF1,0.0,153.1,1,0.00491739,0.00491739,0.0,0.0,0.344621,0.00126058,0.967246
RF1,0.0,153.1,2,0.143217,0.143217,0.0,0.0,1.01001,0.00193542,0.33003
RF1,0.0,204.1,1,0.00491707,0.00491707,0.0,0.0,0.344644,0.00125973,0.967181
RF1,0.0,204.1,2,0.142845,0.142845,0.0,0.0,1.00962,0.0019715,0.330156
RF1,0.0,255.1,1,0.00491668,0.00491668,0.0,0.0,0.344664,0.00125886,0.967126
RF1,0.0,255.1,2,0.142486,0.142486,0.0,0.0,1.00925,0.00200633,0.330278
RF1,0.0,306.1,1,0.00491618,0.00491618,0.0,0.0,0.34468,0.00125795,0.967079
RF1,0.0,306.1,2,0.14214,0.14214,0.0,0.0,1.00889,0.00203995,0.330396
RF1,0.0,357.1,1,0.00491565,0.00491565,0.0,0.0,0.344695,0.00125705,0.967038
RF1,0.0,357.1,2,0.141804,0.141804,0.0,0.0,1.00854,0.0020726,0.33051
RF1,0.0,408.2,1,0.00491506,0.00491506,0.0,0.0,0.344708,0.00125614,0.967003
RF1,0.0,408.2,2,0.141478,0.141478,0.0,0.0,1.00821,0.00210434,0.330621
RF1,0.0,459.2,1,0.00491443,0.00491443,0.0,0.0,0.344718,0.00125522,0.966974
RF1,0.0,459.2,2,0.141161,0.141161,0.0,0.0,1.00788,0.00213512,0.330728
RF1,0.0,510.2,1,0.00491375,0.00491375,0.0,0.0,0.344727,0.00125429,0.966949
RF1,0.0,510.2,2,0.140854,0.140854,0.0,0.0,1.00756,0.00216507,0.330832
RF1,0.0,561.2,1,0.00491303,0.00491303,0.0,0.0,0.344734,0.00125336,0.966928
RF1,0.0,561.2,2,0.140554,0.140554,0.0,0.0,1.00725,0.00219424,0.330934
RF1,0.0,612.2,1,0.00491228,0.00491228,0.0,0.0,0.34474,0.00125241,0.966912
RF1,0.0,612.2,2,0.140263,0.140263,0.0,0.0,1.00695,0.0022227,0.331033
RF1,0.0,663.3,1,0.00491149,0.00491149,0.0,0.0,0.344745,0.00125146,0.966899
RF1,0.0,663.3,2,0.139978,0.139978,0.0,0.0,1.00665,0.00225053,0.33113
RF1,0.0,714.3,1,0.00491067,0.00491067,0.0,0.0,0.344748,0.0012505,0.96689
RF1,0.0,714.3,2,0.139701,0.139701,0.0,0.0,1.00637,0.00227765,0.331224
RF1,0.0,765.3,1,0.00490983,0.00490983,0.0,0.0,0.34475,0.00124954,0.966883
RF1,0.0,765.3,2,0.139429,0.139429,0.0,0.0,1.00609,0.00230419,0.331316
RF1,0.0,816.3,1,0.00490896,0.00490896,0.0,0.0,0.344752,0.00124857,0.96688
RF1,0.0,816.3,2,0.139165,0.139165,0.0,0.0,1.00582,0.00233017,0.331406
RF1,0.0,867.3,1,0.00490807,0.00490807,0.0,0.0,0.344752,0.0012476,0.966878
RF1,0.0,867.3,2,0.138905,0.138905,0.0,0.0,1.00555,0.00235561,0.331494
RF1,0.0,918.4,1,0.00490706,0.00490706,0.0,0.0,0.34475,0.00124653,0.966884
RF1,0.0,918.4,2,0.138652,0.138652,0.0,0.0,1.00529,0.0023804,0.33158
RF1,0.0,969.4,1,0.00490623,0.00490623,0.0,0.0,0.344751,0.00124564,0.966883
RF1,0.0,969.4,2,0.138402,0.138402,0.0,0.0,1.00503,0.00240505,0.331665
RF1,0.0,1020.4,1,0.00490528,0.00490528,0.0,0.0,0.344749,0.00124466,0.966888
RF1,0.0,1020.4,2,0.138158,0.138158,0.0,0.0,1.00478,0.00242906,0.331748
RF1,0.0,1071.4,1,0.00490432,0.00490432,0.0,0.0,0.344746,0.00124367,0.966895
RF1,0.0,1071.4,2,0.137919,0.137919,0.0,0.0,1.00453,0.00245264,0.331829
RF1,0.0,1122.4,1,0.00490334,0.00490334,0.0,0.0,0.344743,0.00124269,0.966904
RF1,0.0,1122.4,2,0.137685,0.137685,0.0,0.0,1.00429,0.00247581,0.331909
RF1,0.0,1173.5,1,0.00490234,0.00490234,0.0,0.0,0.344739,0.0012417,0.966914
RF1,0.0,1173.5,2,0.137453,0.137453,0.0,0.0,1.00405,0.00249862,0.331987
RF1,0.0,1224.5,1,0.00490134,0.00490134,0.0,0.0,0.344735,0.0012407,0.966926
RF1,0.0,1224.5,2,0.137227,0.137227,0.0,0.0,1.00382,0.00252102,0.332064
RF1,0.0,1275.5,1,0.00490032,0.00490032,0.0,0.0,0.344731,0.00123971,0.966939
RF1,0.0,1275.5,2,0.137004,0.137004,0.0,0.0,1.00359,0.00254306,0.33214
RF1,0.0,1326.5,1,0.00489929,0.00489929,0.0,0.0,0.344725,0.00123872,0.966953
RF1,0.0,1326.5,2,0.136785,0.136785,0.0,0.0,1.00337,0.00256477,0.332214
RF1,0.0,1377.6,1,0.00489825,0.00489825,0.0,0.0,0.34472,0.00123772,0.966969
RF1,0.0,1377.6,2,0.136569,0.136569,0.0,0.0,1.00315,0.00258618,0.332288
RF1,0.0,1428.6,1,0.0048972,0.0048972,0.0,0.0,0.344714,0.00123672,0.966986
RF1,0.0,1428.6,2,0.136358,0.136358,0.0,0.0,1.00293,0.00260724,0.332359
RF1,0.0,1479.6,1,0.00489615,0.00489615,0.0,0.0,0.344708,0.00123573,0.967003
RF1,0.0,1479.6,2,0.136149,0.136149,0.0,0.0,1.00272,0.002628,0.33243
RF1,0.0,1530.6,1,0.00489509,0.00489509,0.0,0.0,0.344701,0.00123473,0.967022
RF1,0.0,1530.6,2,0.135944,0.135944,0.0,0.0,1.00251,0.00264847,0.3325
RF1,0.0,1581.6,1,0.00489401,0.00489401,0.0,0.0,0.344694,0.00123373,0.967042
RF1,0.0,1581.6,2,0.135741,0.135741,0.0,0.0,1.0023,0.00266866,0.332569
RF1,0.0,1632.7,1,0.00489293,0.00489293,0.0,0.0,0.344687,0.00123273,0.967062
RF1,0.0,1632.7,2,0.135541,0.135541,0.0,0.0,1.00209,0.00268862,0.332637
RF1,0.0,1683.7,1,0.00489184,0.00489184,0.0,0.0,0.344679,0.00123173,0.967084
RF1,0.0,1683.7,2,0.135345,0.135345,0.0,0.0,1.00189,0.00270829,0.332704
RF1,0.0,1734.7,1,0.00489075,0.00489075,0.0,0.0,0.344671,0.00123073,0.967106
RF1,0.0,1734.7,2,0.13515,0.13515,0.0,0.0,1.00169,0.00272769,0.33277
RF1,0.0,1785.7,1,0.00488957,0.00488957,0.0,0.0,0.344661,0.00122965,0.967133
RF1,0.0,1785.7,2,0.134961,0.134961,0.0,0.0,1.0015,0.00274675,0.332834
RF1,0.0,1836.7,1,0.00488846,0.00488846,0.0,0.0,0.344653,0.00122865,0.967156
RF1,0.0,1836.7,2,0.134772,0.134772,0.0,0.0,1.00131,0.00276569,0.332898
RF1,0.0,1887.8,1,0.00488735,0.00488735,0.0,0.0,0.344644,0.00122764,0.96718
RF1,0.0,1887.8,2,0.134585,0.134585,0.0,0.0,1.00112,0.00278445,0.332962
RF1,0.0,1938.8,1,0.00488624,0.00488624,0.0,0.0,0.344636,0.00122664,0.967205
RF1,0.0,1938.8,2,0.134401,0.134401,0.0,0.0,1.00093,0.00280295,0.333024
RF1,0.0,1989.8,1,0.00488512,0.00488512,0.0,0.0,0.344627,0.00122564,0.96723
RF1,0.0,1989.8,2,0.13422,0.13422,0.0,0.0,1.00074,0.00282124,0.333086
RF1,0.0,2040.8,1,0.004884,0.004884,0.0,0.0,0.344617,0.00122464,0.967256
RF1,0.0,2040.8,2,0.13404,0.13404,0.0,0.0,1.00056,0.00283933,0.333147
RF1,0.0,2091.8,1,0.00488287,0.00488287,0.0,0.0,0.344608,0.00122364,0.967283
RF1,0.0,2091.8,2,0.133864,0.133864,0.0,0.0,1.00038,0.00285723,0.333207
RF1,0.0,2142.9,1,0.00488174,0.00488174,0.0,0.0,0.344598,0.00122264,0.96731
RF1,0.0,2142.9,2,0.133688,0.133688,0.0,0.0,1.0002,0.00287496,0.333266
RF1,0.0,2193.9,1,0.00488061,0.00488061,0.0,0.0,0.344589,0.00122164,0.967337
RF1,0.0,2193.9,2,0.133515,0.133515,0.0,0.0,1.00002,0.00289247,0.333325
RF1,0.0,2244.9,1,0.00487947,0.00487947,0.0,0.0,0.344579,0.00122064,0.967365
RF1,0.0,2244.9,2,0.133345,0.133345,0.0,0.0,0.999851,0.00290981,0.333383
RF1,0.0,2295.9,1,0.00487833,0.00487833,0.0,0.0,0.344569,0.00121964,0.967393
RF1,0.0,2295.9,2,0.133176,0.133176,0.0,0.0,0.999679,0.00292697,0.33344
RF1,0.0,2346.9,1,0.00487701,0.00487701,0.0,0.0,0.344555,0.00121848,0.967431
RF1,0.0,2346.9,2,0.133011,0.133011,0.0,0.0,0.99951,0.00294379,0.333497
RF1,0.0,2398.0,1,0.00487586,0.00487586,0.0,0.0,0.344545,0.00121748,0.96746
RF1,0.0,2398.0,2,0.132845,0.132845,0.0,0.0,0.999341,0.00296065,0.333553
RF1,0.0,2449.0,1,0.00487471,0.00487471,0.0,0.0,0.344534,0.00121648,0.967489
RF1,0.0,2449.0,2,0.132681,0.132681,0.0,0.0,0.999175,0.00297732,0.333609
RF1,0.0,2500.0,1,0.00487356,0.00487356,0.0,0.0,0.344524,0.00121548,0.967519
RF1,0.0,2500.0,2,0.132519,0.132519,0.0,0.0,0.99901,0.00299383,0.333664
